timestamp,end_timestamp,activity_type,activity_summary,member,location,tag
2026-01-01 08:15:00,2026-01-01 08:59:00,repair,Air filter replacement,"B,C,D",internal,
2026-01-01 09:04:00,2026-01-01 09:34:00,comm,Family conference,"A,C,D",internal,
2026-01-01 09:53:00,2026-01-01 10:44:00,research,Crew health survey,B,internal,
2026-01-01 10:57:00,2026-01-01 11:33:00,research,Crew health survey,"A,B",internal,
2026-01-01 11:40:00,2026-01-01 12:55:00,exercise,Resistance exercise device session,D,internal,
2026-01-01 13:08:00,2026-01-01 16:23:00,EVA,Thermal shield check,C,external,
2026-01-01 16:40:00,2026-01-01 17:46:00,research,Fluid physics experiment,A,internal,
2026-01-01 17:57:00,2026-01-01 18:27:00,comm,Morning DPC,B,internal,
2026-01-02 08:15:00,2026-01-02 08:55:00,research,Radiation monitoring check,"C,D",internal,
2026-01-02 09:14:00,2026-01-02 09:58:00,sampling,Surface microbial sampling,B,internal,
2026-01-02 10:13:00,2026-01-02 11:34:00,research,Fluid physics experiment,"A,C",internal,
2026-01-02 11:49:00,2026-01-02 12:19:00,comm,Family conference,D,internal,
2026-01-02 12:34:00,2026-01-02 13:49:00,exercise,Cycle ergometer session,C,internal,
2026-01-02 14:08:00,2026-01-02 14:38:00,comm,Family conference,"B,C,D",internal,
2026-01-02 14:50:00,2026-01-02 15:43:00,sampling,Surface microbial sampling,D,internal,
2026-01-03 08:15:00,2026-01-03 09:18:00,personal,Personal time,A,internal,
2026-01-03 09:31:00,2026-01-03 10:01:00,comm,Family conference,"A,B",internal,
2026-01-03 10:14:00,2026-01-03 10:44:00,comm,Ground science conference,"A,C",internal,
2026-01-03 10:54:00,2026-01-03 11:56:00,logistics,Trash consolidation,"A,B,C",internal,
2026-01-03 12:06:00,2026-01-03 12:45:00,research,Radiation monitoring check,A,internal,
2026-01-03 13:01:00,2026-01-03 14:16:00,exercise,Treadmill session,"A,D",internal,
2026-01-04 08:15:00,2026-01-04 08:45:00,comm,Family conference,"B,D",internal,
2026-01-04 08:54:00,2026-01-04 09:37:00,repair,Cable rerouting,"C,D",internal,
2026-01-04 09:48:00,2026-01-04 10:18:00,comm,Evening DPC,"A,C,D",internal,
2026-01-04 10:37:00,2026-01-04 11:11:00,research,Radiation monitoring check,B,internal,
2026-01-04 11:26:00,2026-01-04 12:10:00,research,Fluid physics experiment,A,internal,
2026-01-04 12:15:00,2026-01-04 12:49:00,personal,Personal time,C,internal,
2026-01-04 12:55:00,2026-01-04 14:10:00,exercise,Resistance exercise device session,"A,D",internal,
2026-01-05 08:15:00,2026-01-05 09:28:00,repair,Cable rerouting,D,internal,
2026-01-05 09:36:00,2026-01-05 10:51:00,exercise,Cycle ergometer session,B,internal,
2026-01-05 10:59:00,2026-01-05 12:03:00,research,Fluid physics experiment,D,internal,
2026-01-05 12:22:00,2026-01-05 13:09:00,research,Combustion experiment setup,A,internal,
2026-01-05 13:28:00,2026-01-05 14:49:00,logistics,Cargo stowage,A,internal,
2026-01-05 14:57:00,2026-01-05 15:27:00,comm,Family conference,D,internal,
2026-01-05 15:39:00,2026-01-05 16:09:00,comm,Morning DPC,D,internal,
2026-01-05 16:29:00,2026-01-05 17:09:00,logistics,Inventory audit,D,internal,
2026-01-05 17:26:00,2026-01-05 18:41:00,exercise,Resistance exercise device session,"C,D",internal,
2026-01-06 08:15:00,2026-01-06 09:17:00,research,Fluid physics experiment,A,internal,
2026-01-06 09:27:00,2026-01-06 09:57:00,comm,Family conference,"A,C,D",internal,
2026-01-06 10:04:00,2026-01-06 10:41:00,research,Combustion experiment setup,"A,C,D",internal,
2026-01-06 10:53:00,2026-01-06 12:05:00,research,Crew health survey,"B,C",internal,
2026-01-06 12:20:00,2026-01-06 13:05:00,repair,Cable rerouting,"B,C",internal,
2026-01-06 13:18:00,2026-01-06 13:48:00,comm,Family conference,"A,D",internal,
2026-01-06 14:07:00,2026-01-06 15:16:00,sampling,Acoustic level measurement,B,internal,
2026-01-06 15:24:00,2026-01-06 16:39:00,exercise,Treadmill session,"A,D",internal,
2026-01-07 08:15:00,2026-01-07 09:32:00,personal,Earth observation,C,internal,
2026-01-07 09:41:00,2026-01-07 10:11:00,comm,Ground science conference,"B,C",internal,
2026-01-07 10:22:00,2026-01-07 11:24:00,repair,Hatch seal inspection,"A,D",internal,
2026-01-07 11:44:00,2026-01-07 12:14:00,comm,Ground science conference,A,internal,
2026-01-07 12:27:00,2026-01-07 13:42:00,exercise,Treadmill session,"B,C",internal,
2026-01-07 13:51:00,2026-01-07 15:06:00,exercise,Resistance exercise device session,"A,C,D",internal,
2026-01-07 15:24:00,2026-01-07 16:51:00,personal,Earth observation,A,internal,
2026-01-07 17:00:00,2026-01-07 18:07:00,personal,Meal prep,D,internal,
2026-01-08 08:15:00,2026-01-08 08:45:00,comm,Evening DPC,B,internal,
2026-01-08 08:54:00,2026-01-08 09:24:00,comm,Ground science conference,B,internal,
2026-01-08 09:42:00,2026-01-08 11:02:00,sampling,Water quality sampling,C,internal,
2026-01-08 11:20:00,2026-01-08 12:35:00,exercise,Cycle ergometer session,"A,B",internal,
2026-01-08 12:43:00,2026-01-08 13:58:00,exercise,Cycle ergometer session,"B,C",internal,
2026-01-08 14:09:00,2026-01-08 14:53:00,research,Crew health survey,D,internal,
2026-01-09 08:15:00,2026-01-09 08:47:00,personal,Earth observation,D,internal,
2026-01-09 08:55:00,2026-01-09 09:25:00,comm,Evening DPC,"A,B",internal,
2026-01-09 09:40:00,2026-01-09 10:26:00,sampling,Water quality sampling,"A,C",internal,
2026-01-09 10:32:00,2026-01-09 11:47:00,exercise,Treadmill session,"A,C",internal,
2026-01-09 12:03:00,2026-01-09 12:33:00,comm,Ground science conference,C,internal,
2026-01-09 12:48:00,2026-01-09 14:00:00,logistics,Inventory audit,"C,D",internal,
2026-01-09 14:18:00,2026-01-09 15:33:00,exercise,Resistance exercise device session,D,internal,
2026-01-09 15:42:00,2026-01-09 17:12:00,personal,Earth observation,B,internal,
2026-01-10 08:15:00,2026-01-10 09:30:00,exercise,Resistance exercise device session,"A,C,D",internal,
2026-01-10 09:41:00,2026-01-10 10:16:00,personal,Personal time,C,internal,
2026-01-10 10:30:00,2026-01-10 11:00:00,comm,Evening DPC,"A,B",internal,
2026-01-10 11:12:00,2026-01-10 11:43:00,sampling,Surface microbial sampling,D,internal,
2026-01-10 11:49:00,2026-01-10 12:19:00,comm,Family conference,"B,C",internal,
2026-01-10 12:38:00,2026-01-10 13:39:00,logistics,Cargo stowage,B,internal,
2026-01-10 13:56:00,2026-01-10 15:23:00,research,Radiation monitoring check,"A,B",internal,
2026-01-11 08:15:00,2026-01-11 09:30:00,exercise,Treadmill session,D,internal,
2026-01-11 09:49:00,2026-01-11 10:35:00,research,Fluid physics experiment,"C,D",internal,
2026-01-11 10:47:00,2026-01-11 11:17:00,comm,Ground science conference,"A,C",internal,
2026-01-11 11:30:00,2026-01-11 12:00:00,comm,Morning DPC,"B,C",internal,
2026-01-11 12:12:00,2026-01-11 12:50:00,logistics,Trash consolidation,D,internal,
2026-01-12 08:15:00,2026-01-12 09:15:00,personal,Earth observation,C,internal,
2026-01-12 09:20:00,2026-01-12 09:50:00,comm,Evening DPC,"B,D",internal,
2026-01-12 10:07:00,2026-01-12 10:37:00,comm,Family conference,"A,D",internal,
2026-01-12 10:50:00,2026-01-12 12:05:00,exercise,Cycle ergometer session,"B,D",internal,
2026-01-12 12:20:00,2026-01-12 13:29:00,logistics,Supply transfer,"A,D",internal,
2026-01-12 13:34:00,2026-01-12 14:12:00,repair,Cable rerouting,A,internal,
2026-01-12 14:31:00,2026-01-12 15:25:00,logistics,Inventory audit,D,internal,
2026-01-12 15:40:00,2026-01-12 16:31:00,sampling,Surface microbial sampling,"B,D",internal,
2026-01-13 08:15:00,2026-01-13 08:45:00,comm,Evening DPC,B,internal,
2026-01-13 08:56:00,2026-01-13 09:26:00,comm,Evening DPC,"A,C",internal,
2026-01-13 09:35:00,2026-01-13 10:34:00,sampling,Surface microbial sampling,"B,C",internal,
2026-01-13 10:47:00,2026-01-13 12:06:00,research,Plant growth experiment,"A,C",internal,
2026-01-13 12:16:00,2026-01-13 13:31:00,exercise,Cycle ergometer session,"A,B,D",internal,
2026-01-14 08:15:00,2026-01-14 09:27:00,repair,Exercise device maintenance,C,internal,
2026-01-14 09:43:00,2026-01-14 10:13:00,comm,Ground science conference,"A,B",internal,
2026-01-14 10:31:00,2026-01-14 11:01:00,comm,Evening DPC,D,internal,
2026-01-14 11:20:00,2026-01-14 12:36:00,personal,Rest period,D,internal,
2026-01-14 12:49:00,2026-01-14 13:46:00,sampling,Acoustic level measurement,"A,B",internal,
2026-01-14 13:59:00,2026-01-14 15:14:00,exercise,Resistance exercise device session,D,internal,
