timestamp,meal_type,item,kcal,protein_g,carbs_g,fat_g,tag
2026-01-01 07:00:00,breakfast,Scrambled Eggs (freeze-dried),203,16,4,16,
2026-01-01 12:00:00,lunch,Vegetable Soup,226,7,26,6,
2026-01-01 18:00:00,dinner,Cheese Tortilla Wrap,438,21,42,20,
2026-01-02 07:00:00,breakfast,Tortilla with Peanut Butter,328,10,33,17,
2026-01-02 10:30:00,snack,Chocolate Bar,240,3,26,12,
2026-01-02 12:30:00,lunch,Chicken Fajita,403,34,38,13,
2026-01-02 15:30:00,snack,Chocolate Bar,215,3,22,10,
2026-01-02 18:30:00,dinner,Spaghetti with Meat Sauce,574,25,66,19,
2026-01-03 06:45:00,breakfast,Scrambled Eggs (freeze-dried),244,17,4,17,
2026-01-03 12:30:00,lunch,Beef Stew (thermostabilized),402,29,32,19,
2026-01-03 18:15:00,dinner,Spaghetti with Meat Sauce,525,22,59,17,
2026-01-03 20:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-01-04 07:00:00,breakfast,Scrambled Eggs (freeze-dried),213,16,4,15,
2026-01-04 12:30:00,lunch,Shrimp Pasta,429,22,61,15,
2026-01-04 18:30:00,dinner,Teriyaki Chicken with Rice,499,36,56,17,
2026-01-04 20:30:00,snack,Cheese Spread with Crackers,175,6,18,10,
2026-01-05 06:30:00,breakfast,Scrambled Eggs (freeze-dried),197,16,4,15,
2026-01-05 12:45:00,lunch,Tuna Salad with Tortilla,412,26,32,14,
2026-01-05 18:00:00,dinner,Spaghetti with Meat Sauce,548,24,56,19,
2026-01-06 07:15:00,breakfast,Bacon (freeze-dried),162,12,1,14,
2026-01-06 12:15:00,lunch,Vegetable Soup,221,7,31,7,
2026-01-06 18:15:00,dinner,Cheese Tortilla Wrap,385,22,40,22,
2026-01-07 07:00:00,breakfast,Tortilla with Peanut Butter,299,11,29,18,
2026-01-07 12:15:00,lunch,Chicken Fajita,390,33,45,13,
2026-01-07 18:00:00,dinner,Salmon with Roasted Vegetables,549,32,18,25,
2026-01-08 07:15:00,breakfast,Bacon (freeze-dried),205,16,1,14,
2026-01-08 10:30:00,snack,Chocolate Bar,179,3,23,10,
2026-01-08 12:30:00,lunch,Shrimp Pasta,456,23,53,16,
2026-01-08 18:00:00,dinner,Salmon with Roasted Vegetables,444,28,17,24,
2026-01-09 06:30:00,breakfast,Bacon (freeze-dried),181,13,1,13,
2026-01-09 12:45:00,lunch,Shrimp Pasta,434,22,53,12,
2026-01-09 18:45:00,dinner,Chili con Carne,440,25,47,16,
2026-01-10 07:15:00,breakfast,Scrambled Eggs (freeze-dried),235,20,4,14,
2026-01-10 12:45:00,lunch,Vegetable Soup,196,7,30,7,
2026-01-10 18:45:00,dinner,Spaghetti with Meat Sauce,568,27,53,19,
2026-01-11 06:45:00,breakfast,Scrambled Eggs (freeze-dried),198,18,4,15,
2026-01-11 12:15:00,lunch,Chicken Salad,366,37,19,17,
2026-01-11 18:30:00,dinner,Salmon with Roasted Vegetables,469,36,23,24,
2026-01-12 06:45:00,breakfast,Oatmeal,244,9,46,5,
2026-01-12 10:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-01-12 12:30:00,lunch,Shrimp Pasta,408,23,55,15,
2026-01-12 18:00:00,dinner,Teriyaki Chicken with Rice,637,30,50,16,
2026-01-12 20:30:00,snack,Mixed Nuts,175,6,12,14,
2026-01-13 07:00:00,breakfast,Oatmeal,240,8,47,5,
2026-01-13 12:00:00,lunch,Chicken Fajita,384,31,41,13,
2026-01-13 15:30:00,snack,Granola Bar,140,4,24,5,
2026-01-13 18:15:00,dinner,Cheese Tortilla Wrap,431,18,38,17,
2026-01-14 07:00:00,breakfast,Canned Peaches,102,1,24,0,
2026-01-14 12:15:00,lunch,Chicken Salad,354,33,21,15,
2026-01-14 18:30:00,dinner,Chili con Carne,461,24,47,16,
2026-01-15 06:30:00,breakfast,Bacon (freeze-dried),153,15,1,12,
2026-01-15 10:30:00,snack,Granola Bar,141,4,26,6,
2026-01-15 10:30:00,snack,Dried Fruit,127,1,29,0,
2026-01-15 12:45:00,lunch,Shrimp Pasta,477,22,47,12,
2026-01-15 18:15:00,dinner,Chili con Carne,466,29,43,16,
2026-01-16 06:45:00,breakfast,Tortilla with Peanut Butter,338,11,27,17,
2026-01-16 10:30:00,snack,Cheese Spread with Crackers,164,8,15,11,
2026-01-16 10:30:00,snack,Granola Bar,129,4,23,6,
2026-01-16 12:45:00,lunch,Beef Stew (thermostabilized),360,30,28,20,
2026-01-16 18:15:00,dinner,Chili con Carne,428,28,37,20,
2026-01-17 07:15:00,breakfast,Bacon (freeze-dried),190,15,1,11,
2026-01-17 12:15:00,lunch,Chicken Fajita,461,34,34,15,
2026-01-17 15:30:00,snack,Granola Bar,129,4,24,5,
2026-01-17 18:30:00,dinner,Beef Stroganoff,530,34,40,25,
2026-01-18 07:15:00,breakfast,Bacon (freeze-dried),157,15,1,12,
2026-01-18 12:30:00,lunch,Chicken Salad,381,34,19,17,
2026-01-18 18:15:00,dinner,Cheese Tortilla Wrap,390,21,39,21,
2026-01-18 20:30:00,snack,Granola Bar,153,4,26,5,
2026-01-19 07:00:00,breakfast,Cereal with Milk Powder,237,9,38,5,
2026-01-19 12:15:00,lunch,Shrimp Pasta,492,21,58,15,
2026-01-19 15:30:00,snack,Granola Bar,155,4,24,6,
2026-01-19 18:15:00,dinner,Spaghetti with Meat Sauce,547,22,55,15,
2026-01-20 07:15:00,breakfast,Canned Peaches,90,1,23,0,
2026-01-20 12:45:00,lunch,Chicken Salad,348,35,21,16,
2026-01-20 18:15:00,dinner,Cheese Tortilla Wrap,484,18,36,20,
2026-01-20 20:30:00,snack,Chocolate Bar,216,3,29,11,
